GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,ESTAB,EMP,PAYQTR1,PAYANN
Geographic identifier code,Id2,Geographic area name,2007 NAICS code,Meaning of 2007 NAICS code,Year,Number of establishments,Paid employees for pay period including March 12 (number),"First-quarter payroll ($1,000)","Annual payroll ($1,000)"
8610000US35004,35004,"ZIP 35004 (Moody, AL)",00,Total for all sectors,2011,155,2170,17772,78514
8610000US35005,35005,"ZIP 35005 (Adamsville, AL)",00,Total for all sectors,2011,91,650,4353,19662
8610000US35006,35006,"ZIP 35006 (Adger, AL)",00,Total for all sectors,2011,21,g,D,D
8610000US35007,35007,"ZIP 35007 (Alabaster, AL)",00,Total for all sectors,2011,581,9615,73010,326283
8610000US35010,35010,"ZIP 35010 (Alexander City, AL)",00,Total for all sectors,2011,467,7303,51157,217861
8610000US35011,35011,"ZIP 35011 (Alexander City, AL)",00,Total for all sectors,2011,30,320,2381,9209
8610000US35013,35013,"ZIP 35013 (Allgood, AL)",00,Total for all sectors,2011,6,b,D,D
8610000US35014,35014,"ZIP 35014 (Alpine, AL)",00,Total for all sectors,2011,23,104,789,3515
8610000US35015,35015,"ZIP 35015 (Alton, AL)",00,Total for all sectors,2011,3,b,278,1313
8610000US35016,35016,"ZIP 35016 (Arab, AL)",00,Total for all sectors,2011,317,3344,23703,97095
8610000US35019,35019,"ZIP 35019 (Baileyton, AL)",00,Total for all sectors,2011,22,157,746,3123
8610000US35020,35020,"ZIP 35020 (Bessemer, AL)",00,Total for all sectors,2011,518,5519,46702,199859
8610000US35021,35021,"ZIP 35021 (Bessemer, AL)",00,Total for all sectors,2011,22,253,2846,12978
8610000US35022,35022,"ZIP 35022 (Bessemer, AL)",00,Total for all sectors,2011,412,8256,68182,281125
8610000US35023,35023,"ZIP 35023 (Bessemer, AL)",00,Total for all sectors,2011,377,4825,37340,153916
8610000US35031,35031,"ZIP 35031 (Blountsville, AL)",00,Total for all sectors,2011,85,1026,6778,30148
8610000US35032,35032,"ZIP 35032 (Bon Air, AL)",00,Total for all sectors,2011,1,a,D,D
8610000US35033,35033,"ZIP 35033 (Bremen, AL)",00,Total for all sectors,2011,25,c,S,5103
8610000US35034,35034,"ZIP 35034 (Brent, AL)",00,Total for all sectors,2011,57,1136,9366,41827
8610000US35035,35035,"ZIP 35035 (Brierfield, AL)",00,Total for all sectors,2011,22,181,1935,8536
8610000US35036,35036,"ZIP 35036 (Brookside, AL)",00,Total for all sectors,2011,1,a,D,D
8610000US35040,35040,"ZIP 35040 (Calera, AL)",00,Total for all sectors,2011,268,4433,53596,199344
8610000US35042,35042,"ZIP 35042 (Centreville, AL)",00,Total for all sectors,2011,107,1114,6613,28677
8610000US35043,35043,"ZIP 35043 (Chelsea, AL)",00,Total for all sectors,2011,180,1480,9259,40810
8610000US35044,35044,"ZIP 35044 (Childersburg, AL)",00,Total for all sectors,2011,138,1400,12748,46567
8610000US35045,35045,"ZIP 35045 (Clanton, AL)",00,Total for all sectors,2011,373,3847,25088,109516
8610000US35046,35046,"ZIP 35046 (Clanton, AL)",00,Total for all sectors,2011,75,746,4193,16039
8610000US35048,35048,"ZIP 35048 (Clay, AL)",00,Total for all sectors,2011,7,75,207,909
8610000US35049,35049,"ZIP 35049 (Cleveland, AL)",00,Total for all sectors,2011,52,302,1609,6619
8610000US35051,35051,"ZIP 35051 (Columbiana, AL)",00,Total for all sectors,2011,156,1393,8806,37882
8610000US35052,35052,"ZIP 35052 (Cook Springs, AL)",00,Total for all sectors,2011,3,c,D,D
