BusinessName,DBAName,Address,City,State,Zip,LICSTATUS,LICENSECAT,DESCRIPT,LicenseAddDtTm,DAYPHN,Property_ID,Location
# 7 RESTAURANT,,225 Grove,West Roxbury,MA,2132,Active,FT,Eating & Drinking w/ Take Out,3/23/07 15:20,10000000000,156965,"(42.261873, -71.15741)"
20TH CENTRY BOWLING LANES,,1231 Hyde Park,Hyde Park,MA,2136,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,13392372645,77089,"(42.25682, -71.12411)"
68 Chinese Fast Food,,48 Winter,Boston,MA,2109,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16173382137,155968,"(42.355863, -71.061898)"
7 Pond Coffee Bar,,597 Centre,Jamaica Plain,MA,2130,Active,FT,Eating & Drinking w/ Take Out,8/15/13 8:59,10000000000,28129,"(42.3149, -71.11427)"
A & N PIZZA,,1409 Centre,Roslindale,MA,2131,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16173232211,27566,"(42.29413, -71.13674)"
A @ Time,,417 Cambridge,Allston,MA,2134,Active,FT,Eating & Drinking w/ Take Out,11/19/12 13:13,10000000000,25121,"(42.355123, -71.134062)"
A K's Take Out,,305 D,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,1/10/08 11:12,16175923969,45493,"(42.339955, -71.049226)"
A K's Take Out & Delivery,,1427 Tremont,Mission Hill,MA,2120,Active,FT,Eating & Drinking w/ Take Out,10/31/07 15:33,16175410300,136818,"(42.331858, -71.096333)"
A K's Take Out & Delivery@Reggie Lewis Track,,1350 Tremont,Boston,MA,2116,Active,FT,Eating & Drinking w/ Take Out,10/20/08 9:21,1617,,"(42.3594, -71.0587)"
Abbott's Frozen Custard,,362 Washington,Brighton,MA,2135,Active,FT,Eating & Drinking w/ Take Out,12/2/10 10:46,15087350970,143525,"(42.348955, -71.153641)"
AFC Sushi @ Shaw's #586,,4 River,Mattapan,MA,2108,Active,FT,Eating & Drinking w/ Take Out,3/6/14 9:48,16172981462,169117,"(42.271841, -71.069999)"
AFC Sushi @ Walgreens #15390,,10 School,Boston,MA,2108,Active,FT,Eating & Drinking w/ Take Out,4/24/13 13:58,10000000000,169533,"(42.357327, -71.058968)"
AL CAPONE,,80 Summer,Boston,MA,2110,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,10000000000,132052,"(42.35402, -71.05813)"
Al Mercatino,,300 FANEUIL HALL MARKET,BOSTON,MA,2109,Active,FT,Eating & Drinking w/ Take Out,3/27/07 12:39,16170,,"(42.3594, -71.0587)"
ALEX PIZZA,,1252 Washington,Roxbury,MA,2118,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16178339626,157038,"(42.342301, -71.067378)"
ALFREDO'S,,229 BRIGHTON ,ALLSTON,MA,2134,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:35,16175628222,,"(42.3594, -71.0587)"
ALFREDO'S ITALIAN KITCHEN,,243 Dorchester,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:36,16174581231,156257,"(42.332855, -71.051318)"
ALI ROTI RESTAURANT,,1035 Tremont,Mission Hill,MA,2120,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172989850,136793,"(42.33666, -71.08563)"
ALLIS ROTI + MEAT MARKET,,1188 Blue Hill,Mattapan,MA,2126,Active,FT,Eating & Drinking w/ Take Out,12/7/06 13:34,16172989850,16183,"(42.28377, -71.09129)"
AL'S PIZZA AND GRILL,,402 Broadway,South Boston,MA,2127,Active,FT,Eating & Drinking w/ Take Out,7/12/12 14:18,16172687700,156047,"(42.337287, -71.04805)"
Al's South St. Express,,179 Essex,Boston,MA,2111,Active,FT,Eating & Drinking w/ Take Out,12/13/07 10:39,10000000000,54296,"(42.352051, -71.057585)"
