ATS_CODE	BORO	BORONUM	LOC_CODE	SCHOOLNAME	SCH_TYPE	MANAGED_BY	GEO_DISTRI	ADMIN_DIST	ADDRESS	STATE_CODE	ZIP	PRINCIPAL	PRIN_PH	FAX	GRADES	City
15K001 	K	2.0	K001	P.S. 001 THE BERGEN	Elementary	1.0	15	15.0	309 47 STREET	NY	11220	Jennifer Eusanio	718-567-7661	718-567-9771	PK,0K,01,02,03,04,05,SE	BROOKLYN
17K002 	K	2.0	K002	M.S. 002	Junior High-Intermediate-Middle	1.0	17	17.0	655 PARKSIDE AVENUE	NY	11226	ADRIENNE SPENCER	718-462-6992	718-284-7717	06,07,08,SE	BROOKLYN
21K095 	K	2.0	K095	P.S. 095 THE GRAVESEND	K-8	1.0	21	21.0	345 VAN SICKLEN STREET	NY	11223	Janet Ndzibah	718-449-5050	718-449-3047	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
21K096 	K	2.0	K096	I.S. 096 SETH LOW	Junior High-Intermediate-Middle	1.0	21	21.0	99 AVENUE P	NY	11204	Denise Sandra Levinsky	718-236-1344	718-236-2397	06,07,08,SE	BROOKLYN
21K097 	K	2.0	K097	P.S. 97 THE HIGHLAWN	Elementary	1.0	21	21.0	1855 STILLWELL AVENUE	NY	11223	KRISTINE MUSTILLO	718-372-7393	718-372-3842	PK,0K,01,02,03,04,05,SE	BROOKLYN
21K098 	K	2.0	K098	I.S. 98 BAY ACADEMY	Junior High-Intermediate-Middle	1.0	21	21.0	1401 EMMONS AVENUE	NY	11235	MARIA TIMO	718-891-9005	718-891-3865	06,07,08,SE	BROOKLYN
21K099 	K	2.0	K099	P.S. 099 ISAAC ASIMOV	K-8	1.0	21	21.0	1120 EAST  10 STREET	NY	11230	GREGORY PIRRAGLIA	718-338-9201	718-951-0418	PK,0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
21K100 	K	2.0	K100	P.S. 100 THE CONEY ISLAND SCHOOL	Elementary	1.0	21	21.0	2951 WEST  3 STREET	NY	11224	Katherine A. Moloney	718-266-9477	718-266-7112	PK,0K,01,02,03,04,05,SE	BROOKLYN
21K101 	K	2.0	K101	P.S. 101 THE VERRAZANO	Elementary	1.0	21	21.0	2360 BENSON AVENUE	NY	11214	GREGG KORROL	718-372-0221	718-372-1873	PK,0K,01,02,03,04,05,SE	BROOKLYN
20K102 	K	2.0	K102	P.S. 102 THE BAYVIEW	Elementary	1.0	20	20.0	211 72 STREET	NY	11209	Ms. Theresa Dovi	718-748-7404	718-836-9265	0K,01,02,03,04,05,SE	BROOKLYN
13K103 	K	2.0	K103	SATELLITE THREE	Junior High-Intermediate-Middle	1.0	13	13.0	170 GATES AVENUE	NY	11238	Beatrice Thompson	718-789-5835	718-789-5814	06,07,08,SE	BROOKLYN
20K104 	K	2.0	K104	P.S./I.S. 104 THE FORT HAMILTON SCHOOL	K-8	1.0	20	20.0	9115 5 AVENUE	NY	11209	Ms. Marie DiBella	718-836-4630	718-836-9412	0K,01,02,03,04,05,06,07,08,SE	BROOKLYN
20K105 	K	2.0	K105	P.S. 105 THE BLYTHEBOURNE	Elementary	1.0	20	20.0	1031 59 STREET	NY	11219	JOHANNA CASTRONOVO	718-438-3230	718-853-9633	PK,0K,01,02,03,04,05,SE	BROOKLYN
