Station (alphabetical by borough),Station clean,2009,2010,Combined code
149 St-Grand Concourse 2 train icon 4 train icon 5 train icon,149 St-Grand Concourse,"12,056","12,744","(40.818375, -73.927351)"
161 St-Yankee Stadium B train icon D train icon 4 train icon,161 St-Yankee Stadium,"26,061","26,159","(40.827905, -73.925651)"
167 St 4 train icon,167 St,"9,054","9,220","(40.833769, -73.918432)"
167 St B train icon D train icon,167 St,"8,848","8,839","(40.833769, -73.918432)"
170 St 4 train icon,170 St,"8,848","9,234","(40.839306, -73.913400)"
170 St B train icon D train icon,170 St,"6,255","6,054","(40.839306, -73.913400)"
174 St 2 train icon 5 train icon,174 St,"6,801","7,227","(40.837288, -73.887734)"
174-175 Sts B train icon D train icon,174-175 Sts,"4,603","4,537","(40.837288, -73.887734)"
176 St 4 train icon,176 St,"4,312","4,517","(40.837288, -73.887734)"
182-183 Sts B train icon D train icon,182-183 Sts,"4,612","4,550","(40.858407, -73.903879)"
183 St 4 train icon,183 St,"5,954","6,071","(40.858407, -73.903879)"
219 St 2 train icon 5 train icon,219 St,"3,049","3,261","(40.883895, -73.862633)"
225 St 2 train icon 5 train icon,225 St,"3,841","4,104","(40.888022, -73.860341)"
231 St 1 train icon,231 St,"8,428","8,680","(40.878856, -73.904834)"
233 St 2 train icon 5 train icon,233 St,"4,870","5,179","(40.893193, -73.857473)"
238 St 1 train icon,238 St,"3,492","3,514","(40.884667, -73.900870)"
3 Av-138 St 6 train icon,3 Av-138 St,"6,894","6,985","(40.813224, -73.929849)"
3 Av-149 St 2 train icon 5 train icon,3 Av-149 St,"24,096","23,955","(40.816109, -73.917757)"
Allerton Av 2 train icon 5 train icon,Allerton Av,"5,258","5,282","(40.865462, -73.867352)"
Baychester Av 5 train icon,Baychester Av,"3,634","3,706","(40.878663, -73.838591)"
Bedford Park Blvd B train icon D train icon,Bedford Park Blvd,"6,054","6,037","(40.873244, -73.887138)"
Bedford Park Blvd-Lehman College 4 train icon,Bedford Park Blvd-Lehman College,"5,701","5,897","(40.873412, -73.890064)"
Bronx Park East 2 train icon 5 train icon,Bronx Park East,"2,834","2,888","(40.848828, -73.868457)"
Brook Av 6 train icon,Brook Av,"5,790","5,874","(40.807566, -73.919240)"
Buhre Av 6 train icon,Buhre Av,"2,980","3,011","(40.846810, -73.832569)"
Burke Av 2 train icon 5 train icon,Burke Av,"3,367","3,392","(40.871356, -73.867164)"
Burnside Av 4 train icon,Burnside Av,"10,909","11,232","(40.853453, -73.907684)"
Castle Hill Av 6 train icon,Castle Hill Av,"6,708","7,617","(40.834255, -73.851222)"
Cypress Av 6 train icon,Cypress Av,"3,574","3,739","(40.805368, -73.914042)"
East 143 St-St Mary's St 6 train icon,East 143 St-St Mary's St,831,871,"(40.808719, -73.907657)"
East 149 St 6 train icon,East 149 St,"4,323","4,226","(40.812118, -73.904098)"
East 180 St 2 train icon 5 train icon,East 180 St,"6,341","5,931","(40.841894, -73.873488)"
Eastchester-Dyre Av 5 train icon,Eastchester-Dyre Av,"4,189","4,333","(40.888300, -73.830834)"
Elder Av 6 train icon,Elder Av,"6,434","9,042","(40.828584, -73.879159)"
Fordham Rd 4 train icon,Fordham Rd,"11,732","12,080","(40.861296, -73.897749)"
Fordham Rd B train icon D train icon,Fordham Rd,"11,413","11,454","(40.861296, -73.897749)"
Freeman St 2 train icon 5 train icon,Freeman St,"3,812","4,296","(40.829993, -73.891865)"
Gun Hill Rd 2 train icon 5 train icon,Gun Hill Rd,"6,145","6,717","(40.869526, -73.846384)"
Gun Hill Rd 5 train icon,Gun Hill Rd,"5,770","5,776","(40.869526, -73.846384)"
Hunts Point Av 6 train icon,Hunts Point Av,"10,512","10,494","(40.820948, -73.890549)"
Intervale Av 2 train icon 5 train icon,Intervale Av,"2,785","2,951","(40.822181, -73.896736)"
Jackson Av 2 train icon 5 train icon,Jackson Av,"4,961","5,249","(40.816490, -73.907807)"
Kingsbridge Rd 4 train icon,Kingsbridge Rd,"9,320","9,754","(40.866978, -73.893509)"
Kingsbridge Rd B train icon D train icon,Kingsbridge Rd,"7,417","7,208","(40.866978, -73.893509)"
Longwood Av 6 train icon,Longwood Av,"3,228","3,273","(40.816104, -73.896435)"
Middletown Rd 6 train icon,Middletown Rd,"1,802","1,883","(40.843863, -73.836322)"
Morris Park 5 train icon,Morris Park,"1,873","1,871","(40.854364, -73.860495)"
Morrison Av-Soundview 6 train icon,Morrison Av-Soundview,"6,225","2,304","(40.829521, -73.874516)"
Mosholu Pkwy 4 train icon,Mosholu Pkwy,"9,078","9,439","(40.879750, -73.884655)"
Mt Eden Av 4 train icon,Mt Eden Av,"5,615","5,848","(40.844434, -73.914685)"
Nereid Av 2 train icon 5 train icon,Nereid Av,"3,080","3,307","(40.898379, -73.854376)"
Norwood-205 St D train icon,Norwood-205 St,"7,588","7,602","(40.874811, -73.878855)"
Parkchester 6 train icon,Parkchester,"14,978","12,724","(40.833226, -73.860816)"
Pelham Bay Park 6 train icon,Pelham Bay Park,"6,299","6,538","(40.852462, -73.828121)"
Pelham Pkwy 2 train icon 5 train icon,Pelham Pkwy,"8,287","8,691","(40.858985, -73.855359)"
Pelham Pkwy 5 train icon,Pelham Pkwy,"3,011","3,139","(40.858985, -73.855359)"
Prospect Av 2 train icon 5 train icon,Prospect Av,"7,291","7,551","(40.665414, -73.992872)"
Simpson St 2 train icon 5 train icon,Simpson St,"9,095","9,815","(40.824073, -73.893064)"
St Lawrence Av 6 train icon,St Lawrence Av,"4,016","5,093","(40.831509, -73.867618)"
Tremont Av B train icon D train icon,Tremont Av,"8,542","8,513","(40.850410, -73.905227)"
Van Cortlandt Park-242 St 1 train icon ,Van Cortlandt Park-242 St,"6,040","6,148","(40.889248, -73.898583)"
Wakefield-241 St 2 train icon,Wakefield-241 St,"4,212","4,582","(40.903125, -73.850620)"
West Farms Sq-East Tremont Av  2 train icon 5 train icon,West Farms Sq-East Tremont Av ,"7,270","8,052","(40.840295, -73.880049)"
Westchester Sq-East Tremont Av  6 train icon,Westchester Sq-East Tremont Av ,"6,178","6,359","(40.839892, -73.842952)"
Whitlock Av 6 train icon,Whitlock Av,"1,528",524,"(40.826525, -73.886283)"
Woodlawn 4 train icon,Woodlawn,"6,980","7,513","(40.886037, -73.878751)"
Zerega Av 6 train icon,Zerega Av,"2,404","2,539","(40.836488, -73.847036)"
