Station,Entrance,Final Lat,Final Long
Downtown Crossing,22880,42.355515,-71.060493
South Station,22632,42.351971,-71.056008
Harvard,21868,42.373653,-71.118954
Park Street,19836,42.35619719,-71.06229544
Back Bay,16769,42.347618,-71.0759
North Station,16702,42.366741,-71.059892
Central,14531,42.365457,-71.103644
Kendall/MIT,13975,42.362413,-71.086382
Forest Hills,13568,42.300008,-71.114008
Copley,13500,42.34968,-71.078045
State,12553,42.35871,-71.057811
Davis,11628,42.396197,-71.121926
Government Center,11317,42.358972,-71.059484
Malden Center,11258,42.427084,-71.073754
Haymarket,11223,42.362498,-71.058996
Alewife,10657,42.395704,-71.141099
Charles/MGH,10615,42.361255,-71.070825
Hynes Convention Center/ICA,9525,42.348332,-71.087873
Sullivan Square,9004,42.384146,-71.077058
Kenmore,8653,42.34857,-71.095233
Porter,8552,42.388505,-71.119148
Ruggles,8378,42.335834,-71.090512
Arlington,8378,42.352051,-71.070063
Maverick Station,8134,42.368691,-71.039218
Quincy Center,7913,42.250879,-71.004798
JFK/UMASS,7834,42.320732,-71.051717
Boylston Street,7618,42.35239149,-71.06487036
Wellington,7464,42.404256,-71.081221
North Quincy,7132,42.27481612,-71.02917552
Logan Airport Station,6901,42.374905,-71.029969
Lechmere,6645,42.370582,-71.076884
Ashmont,6019,42.285924,-71.064219
Oak Grove,5994,42.435145,-71.071672
Chinatown,5822,42.352257,-71.062499
New England Medical Center,5684,42.3501,-71.063282
Andrew,5586,42.329362,-71.056845
Wonderland Station,5520,42.414079,-70.992236
Mass. Ave,5248,42.341695,-71.083142
Jackson,4968,42.32273881,-71.1000824
Aquarium Station,4444,42.35936,-71.052876
Braintree,4387,42.20878042,-71.00133419
Quincy Adams,4383,42.23275157,-71.00714922
Wollaston,4347,42.26561466,-71.01940155
Broadway,4200,42.342884,-71.057349
Fields Corner,4152,42.30026198,-71.06070757
Orient Heights Station,4121,42.386785,-71.006774
Prudential,3732,42.34563581,-71.08158588
Community College,3695,42.373732,-71.069784
Roxbury Crossing,3693,42.330671,-71.095769
Green Street,3229,42.310601,-71.106713
Stony Brook,3163,42.317099,-71.104363
Revere Beach Station,2693,42.407409,-70.992365
World Trade Center,2338,42.3488393,-71.04253292
Shawmut,2241,42.29279438,-71.06578231
Riverside,2192,42.33711088,-71.2517345
Symphony,1936,42.342697,-71.085095
Beachmont Station,1993,42.397419,-70.992161
Savin Hill,1863,42.312672,-71.052747
Bowdoin Station,1454,42.361176,-71.061051
Wood Island Station,1450,42.381016,-71.023039
Science Park,1179,42.36667752,-71.06816411
Courthouse Station,945,42.35207434,-71.04530096
Suffolk Downs Station,794,42.390121,-70.997064
