NYC zip codes,Companies incorporated
10453,540
10457,608
10460,441
10458,722
10467,830
10468,541
10451,504
10452,529
10456,563
10454,308
10455,456
10459,373
10474,292
10463,645
10471,294
10466,566
10469,692
10470,183
10475,201
10461,853
10462,871
10464,86
10465,416
10472,484
10473,360
11212,605
11213,809
11216,928
11233,611
11238,1200
11209,1598
11214,1770
11228,14033
11204,2296
11218,1779
11219,3551
11230,2385
11234,1787
11236,978
11239,58
11223,1968
11224,636
11229,1791
11235,2579
11201,2023
11205,1622
11215,1665
11217,1039
11231,990
11203,837
11210,1358
11225,742
11226,1015
11207,859
11208,783
11211,3708
11222,1306
11220,2114
11232,859
11206,1317
11221,869
11237,859
10026,479
10027,746
10030,286
10037,211
10039,228
10001,4105
10011,8381
10018,3588
10019,3176
10020,236
10036,3006
10029,746
10035,372
10010,1530
10016,4124
10017,3112
10022,4183
10012,1438
10013,2613
10014,1226
10004,1020
10005,1184
10006,748
10007,1011
10038,1906
10280,163
10002,1816
10003,2316
10009,832
10021,1093
10028,1032
10044,83
10128,1037
10023,1459
10024,1112
10025,1206
10031,565
10032,517
10033,600
10034,478
10040,382
11361,874
11362,369
11363,224
11364,606
11354,2874
11355,2232
11356,586
13357,29
11358,1074
11359,3
11360,311
11365,834
11366,443
11367,1012
11412,374
11423,418
11432,1222
11433,320
11434,668
11435,857
11436,173
11101,1549
11102,773
11103,1090
11104,464
11105,900
11106,864
11374,973
11375,1644
11379,493
11385,1448
11691,444
11692,115
11693,119
11694,221
11695,0
11697,23
11004,211
11005,25
11411,208
11413,436
11422,382
11426,291
11427,306
11428,317
11429,341
11414,378
11415,398
11416,351
11417,405
11418,685
11419,824
11420,591
11421,445
11368,1384
11369,442
11370,411
11372,1952
11373,1441
11377,1419
11378,804
10302,273
10303,267
10310,297
10306,872
10307,269
10308,367
10309,627
10312,874
10301,512
10304,616
10305,727
10314,1310
