SF Zip Codes,Business count
94102,1861
94103,2545
94104,1205
94105,1531
94107,2410
94108,1133
94109,2263
94110,3231
94111,1549
94112,1597
94114,1486
94115,1393
94116,906
94117,1553
94118,1565
94119,4
94120,3
94121,1162
94122,1624
94123,1267
94124,1434
94125,3
94126,3
94127,580
94128,20
94129,173
94130,233
94131,794
94132,648
94133,1306
94134,700
94137,3
94139,0
94140,4
94141,1
94142,4
94143,4
94144,1
94145,1
94146,1
94147,5
94151,0
94158,161
94159,3
94160,0
94161,0
94163,0
94164,2
94172,0
94177,0
94188,12
