School,Final address
Academy of Arts and Sciences,555 Portola Drive 
Alamo Elementary School,250-23rd Avenue 
Alvarado Elementary School,625 Douglass Street 
Aptos Middle School,105 Aptos Avenue 
Argonne Early Education School,750 - 16th Ave 
Argonne Elementary School,680-18th Avenue 
"Asawa, Ruth - San Francisco School of the Arts (SOTA)",555 Portola Drive 
Balboa High School,1000 Cayuga Avenue 
Bryant Early Education School,2641 - 25th Street 
Bryant Elementary School,2641 - 25th St. 
Buena Vista Horace Mann,3351-23rd Street 
"Burton, Phillip and Sala High School",400 Mansell Street 
"Carmichael, Bessie (6-8 Campus)",824 Harrison Street 
"Carmichael, Bessie (K-5 Campus)",375-7th Street 
"Carmichael, Bessie Early Education School",45 Cleveland St 
"Carver, Dr. George Washington Elementary School",1360 Oakdale Avenue 
"Ch‡vez, CŽsar Elementary School",825 Shotwell Street 
"Chin, John Yehall Elementary School",350 Broadway Street 
Chinese Education Center Elementary School,657 Merchant Street 
Chinese Immersion School at DeAvila,1250 Waller Street 
City Arts and Tech High School,325 La Grande Avenue 
Civic Center Secondary School,727 Golden Gate Ave 
Clarendon Elementary School,500 Clarendon Ave 94131 
Cleveland Elementary School,455 Athens Street 
"Cobb, Dr. William L. Elementary School,",2725 California Street 
Creative Arts,1601 Turk Street 
"Denman, James Middle School",241 Oneida Avenue 
Downtown High School,693 Vermont Street 
"Drew, Dr. Charles Early Education School",50 Pomona St 
"Drew, Dr. Charles R. Elementary School",50 Pomona Avenue 
Edison Charter K-8,3531 - 22nd St. 
El Dorado Elementary School,70 Delta Street 
Everett Middle School,450 Church Street 
Excelsior Guadalupe Early Education School,859 Prague St 
Excelsior Monroe Early Education School,260 Madrid St 
Fairmount Elementary School,65 Chenery Street 
"Feinstein, Dianne Elementary School",2550 25th Avenue 
Five Keys Charter,70 Oak Grove Street 
"Flynn, Leonard Early Education School",3125 Cesar Chavez St 
"Flynn, Leonard Elementary School",3125 Cesar Chavez Street 
Francisco Middle School,2190 Powell Street 
Galileo High School,1150 Francisco Street 
Garfield Early Education School,420 Filbert St 
Garfield Elementary School,420 Filbert Street 
Gateway High School,1430 Scott Street 
Gateway Middle School,1512 Golden Gate Avenue 
"Giannini, A. P. Middle School",3151 Ortega Street 
Glen Park Elementary School,151 Lippard Avenue 
Grattan Early Education School,165 Grattan St 
Grattan Elementary School,165 Grattan Street 
Guadalupe Elementary School,859 Prague Street 
"Harte, Bret Early Education School",950 Hollister Ave 
"Harte, Bret Elementary School",1035 Gilman Avenue 
"Havard, Leola M. Early Education School",1520 Oakdale Ave 
Hillcrest Elementary School,810 Silver Avenue 
Hilltop Special Services Center,1325 Florida Street 
"Hoover, Herbert Middle School",2290-14th Avenue 
Independence High School,1350 7th Avenue 
International Studies Academy,655 De Haro Street 
Jefferson Early Education School,1350 - 25th Ave 
Jefferson Elementary School,1725 Irving Street 
