County Name,District Name,Select  School name below for details,Status,Zip Code
San Francisco,San Francisco Unified,Academy of Arts and Sciences,Active ,94131
San Francisco,San Francisco Unified,Alamo Elementary,Active ,94121-2009 
San Francisco,San Francisco Unified,Alvarado Elementary,Active ,94114-3140 
San Francisco,San Francisco Unified,Aptos Middle,Active ,94127-2520 
San Francisco,San Francisco Unified,Argonne Elementary,Active ,94121-3818 
San Francisco,San Francisco Unified,"Asawa (Ruth) San Francisco School of the Arts, A Public School.",Active ,94131-1616 
San Francisco,San Francisco Unified,Balboa High,Active ,94112-3236 
San Francisco,San Francisco Unified,Bryant Elementary,Active ,94110-3420 
San Francisco,San Francisco Unified,Buena Vista/ Horace Mann K-8,Active ,94110-3031 
San Francisco,San Francisco Unified,Burton (Phillip and Sala) Academic High,Active ,94134-1829 
San Francisco,San Francisco Unified,Carmichael (Bessie)/FEC,Active ,94103-4020 
San Francisco,San Francisco Unified,Carver (George Washington) Elementary,Active ,94124-2724 
San Francisco,San Francisco Unified,Chavez (Cesar) Elementary,Active ,94110-3212 
San Francisco,San Francisco Unified,Chin (John Yehall) Elementary,Active ,94133
San Francisco,San Francisco Unified,Chinese Education Center,Active ,94111-2505 
San Francisco,San Francisco Unified,Chinese Immersion School at DeAvila,Active ,94117
San Francisco,San Francisco Unified,City Arts and Tech High,Active ,94112
San Francisco,San Francisco Unified,Clarendon Alternative Elementary,Active ,94131-1113 
San Francisco,San Francisco Unified,Cleveland Elementary,Active ,94112-2801 
San Francisco,San Francisco Unified,Cobb (William L.) Elementary,Active ,94115-2513 
San Francisco,San Francisco Unified,Cooper (Sarah B.) Children Center,Active ,94133-2606 
San Francisco,San Francisco Unified,Creative Arts Charter,Active ,94115-4527 
San Francisco,San Francisco Unified,Denman (James) Middle,Active ,94112-3228 
San Francisco,San Francisco Unified,Downtown High,Active ,94107-2635 
San Francisco,San Francisco Unified,Drew (Charles) College Preparatory Academy,Active ,94124-2344 
San Francisco,San Francisco Unified,Edison Charter Academy,Active ,94114-3405 
San Francisco,San Francisco Unified,El Dorado Elementary,Active ,94134-2145 
San Francisco,San Francisco Unified,Emergency Evaluation Center,Active ,94102
San Francisco,San Francisco Unified,Everett Middle,Active ,94114-1721 
San Francisco,San Francisco Unified,Fairmount Elementary,Active ,94131-2706 
San Francisco,San Francisco Unified,Feinstein (Dianne) Elementary,Active ,94116-2901 
San Francisco,San Francisco Unified,Five Keys Adult School (SF Sheriff's),Active ,94107-1019 
San Francisco,San Francisco Unified,Five Keys Charter (SF Sheriff's),Active ,94066
San Francisco,San Francisco Unified,Five Keys Independence HS (SF Sheriff's),Active ,94107-1019 
San Francisco,San Francisco Unified,Flynn (Leonard R.) Elementary,Active ,94110-4722 
San Francisco,San Francisco Unified,Francisco Middle,Active ,94133-1949 
San Francisco,San Francisco Unified,Galileo High,Active ,94109
San Francisco,San Francisco Unified,Garfield Elementary,Active ,94133-3002 
San Francisco,San Francisco Unified,Gateway High,Active ,94115-3510 
San Francisco,San Francisco Unified,Gateway Middle,Active ,94115
San Francisco,San Francisco Unified,Gateway to College,Active ,94112
San Francisco,San Francisco Unified,Giannini (A.P.) Middle,Active ,94122-4051 
San Francisco,San Francisco Unified,Glen Park Elementary,Active ,94131-3249 
San Francisco,San Francisco Unified,Grattan Elementary,Active ,94117-4208 
San Francisco,San Francisco Unified,Guadalupe Elementary,Active ,94112-4516 
San Francisco,San Francisco Unified,Harte (Bret) Elementary,Active ,94124-3710 
San Francisco,San Francisco Unified,Havard (Leona M) Early Education School,Active ,94124
San Francisco,San Francisco Unified,Hillcrest Elementary,Active ,94134-1012 
San Francisco,San Francisco Unified,Hoover (Herbert) Middle,Active ,94116-1841 
San Francisco,San Francisco Unified,Independence High,Active ,94116
San Francisco,San Francisco Unified,International Studies Academy,Active ,94107-2635 
San Francisco,San Francisco Unified,Jefferson Elementary,Active ,94122-1893 
San Francisco,San Francisco Unified,Jordan (June) School for Equity,Active ,94112
San Francisco,San Francisco Unified,Key (Francis Scott) Elementary,Active ,94122-2925 
San Francisco,San Francisco Unified,King (Starr) Elementary,Active ,94107-3322 
San Francisco,San Francisco Unified,King Jr. (Martin Luther) Academic Middle,Active ,94134-1469 
San Francisco,San Francisco Unified,KIPP Bayview Academy,Active ,94124-3563 
San Francisco,San Francisco Unified,KIPP San Francisco Bay Academy,Active ,94115-3510 
San Francisco,San Francisco Unified,KIPP San Francisco College Preparatory,Active ,94107
San Francisco,San Francisco Unified,Lafayette Elementary,Active ,94121-2621 
San Francisco,San Francisco Unified,Lakeshore Alternative Elementary,Active ,94132-1418 
San Francisco,San Francisco Unified,Las Americas Children Center,Active ,94110
