Certificate Number,Ownership_Name,DBA Name,Business Address Number,Business Address Street Name,Business Address Full,Business Room Suite,Business Zip,Business Number,Location Number,Class Code,PBC Code,DBA Start Date,Location Start Date,Mailing Address 1,Mailing Address 2,Mailing City/State/Zip Code,Location
957668,EL FARO RESTAURANTS INC,EL FARO                       ,2399,FOLSOM ST,2399 FOLSOM ST,,94110,1,1,8,5800,19960401,19960401,2399 FOLSOM STREET,,SAN FRANCISCO CA 941102010,"(37.7590705667859, -122.414398699505)"
957594,SOUZA AND SOUZA INC,"NORTH BEACH PIZZA,TOO!-ON     ",4787,MISSION ST,4787 MISSION ST,,941122729,1,1,8,5800,19960101,19960101,4787 MISSION ST,,SAN FRANCISCO CA 941122729,"(37.7217046759496, -122.43671660102)"
957544,AMAS ABED I,FATTOUSH RESTAURANT           ,1361,CHURCH ST,1361 CHURCH ST,,94114,2,1,8,3079,19961029,19980416,1361 CHURCH ST,,SAN FRANCISCO CA 941143924,"(37.7490536136862, -122.426863365388)"
957402,NASRAH NASSER ISSA,JBS PLACE                     ,1435,17TH ST,1435 17TH ST,,941072411,1,1,8,3079,19960701,19960701,1435 17TH ST,,SAN FRANCISCO CA 941072411,"(37.7610873715046, -122.475133821965)"
957319,GORDO TAQUERIA #1 INC,GORDO TAQUERIA #1 INC         ,2252,CLEMENT ST,2252 CLEMENT ST,,94121,1,1,8,5800,19960601,19960601,2252 CLEMENT ST,,SAN FRANCISCO CA 941212019,"(37.7823241298063, -122.483644074688)"
957317,"GORDO TAQUERIA #6, INC",GORDO TAQUERIA #6             ,5450,GEARY BLVD,5450 GEARY BLVD,,94121,1,1,8,5812,19961022,19961022,5450 GEARY BLVD,,SAN FRANCISCO CA 941212307,
957285,RESTAURANTS UNLIMITED INC,PALOMINO EURO-BISTRO          ,345,SPEAR ST,345 SPEAR ST,,94105,1,1,8,5800,19960807,19960807,411 1ST AVE S #200N,,SEATTLE WA 981040000,"(37.7898032969608, -122.389757395412)"
957261,FADDOUL JR AWAD,CAFE LA BOHEME                ,3318,24TH ST,3318 24TH ST,,941103803,1,1,8,3079,19961001,19961001,3318 24TH ST,,SAN FRANCISCO CA 941103803,"(37.7523988440126, -122.418803576189)"
957241,CURD WALTER & PATRICIA,CLOUDS                        ,750,HOWARD ST,750 HOWARD ST,,94103,1,1,8,3079,19961017,19961017,800 CHATEAU DR,,HILLSBOROUGH CA 940106507,"(37.7849378460523, -122.402067660515)"
957235,CALMA M/DIAMONON H/ETAL,M & M'S BAHAY KUBO RESTAURANT ,4794,MISSION ST,4794 MISSION ST,,941122745,1,1,8,5812,19961022,19961022,4794 MISSION ST,,SAN FRANCISCO CA 941122745,"(37.7215293833909, -122.437607416606)"
957227,CAFE ABIR INC,CAFE ABIR                     ,1300,FULTON ST,1300 FULTON ST,,94117,1,1,8,5800,20081231,20081231,1300 FULTON ST,,SAN FRANCISCO CA 941171416,"(37.7770478350047, -122.438600443703)"
957206,BLOWFISH LLC,BLOWFISH SUSHI TO DIE FOR     ,2170,BRYANT ST,2170 BRYANT ST,,94110,3,1,8,5812,19961008,19961008,2170 BRYANT ST,,SAN FRANCISCO CA 941102128,"(37.759441704593, -122.410179008796)"
957206,BLOWFISH LLC,BLOWFISH RESTAURANT           ,2170,BRYANT ST,2170 BRYANT ST,,94110,2,1,8,5812,19961008,19961008,2170 BRYANT ST,,SAN FRANCISCO CA 941102128,"(37.759441704593, -122.410179008796)"
957206,BLOWFISH LLC,BLOWFISH LLC                  ,2170,BRYANT ST,2170 BRYANT ST,,94110,1,1,8,5812,19961008,19961008,2170 BRYANT ST,,SAN FRANCISCO CA 941102128,"(37.759441704593, -122.410179008796)"
957032,PEREZ GLORIA V,LA CABANA BAKERY              ,2919,16TH ST,2919 16TH ST,,941033612,1,1,8,3079,19960920,19960920,2919 16TH ST,,SAN FRANCISCO CA 941033612,"(37.7649293208856, -122.417909343819)"
956945,LEE DONG JOO/JUNG EEM,HAN BAT KOREAN RESTAURANT     ,2001,TARAVAL ST,2001 TARAVAL ST,,94116,1,1,8,3079,19961014,19961014,2001 TARAVAL ST,,SAN FRANCISCO CA 941162218,
956866,CALUB-RILLERA INTL CO INC,SUBWAY SANDWICHES & SALADS    ,101,SPEAR ST,101 SPEAR ST,A3,941051559,1,5,8,5800,19960627,20020501,70 SANDHILL CRANE CT,,OAKLEY CA 945611811,"(37.792265143252, -122.392847515015)"
956866,CALUB-RILLERA INTL CO INC,HYATT SUBWAY SANDWICHES&SALADS,5,EMBARCADERO CTR,5 EMBARCADERO CTR,,94111,2,1,8,5800,19960627,20050201,70 SANDHILL CRANE CT,,OAKLEY CA 945611811,"(37.7943310161356, -122.395811054956)"
956770,LU DANNY,CAFE DOLCI                    ,740,MARKET ST,740 MARKET ST,,94102,2,1,8,3079,19961007,19961007,29 HUCKLEBERRY CT,,BRISBANE CA 940051265,"(37.7874316153309, -122.404371429682)"
956731,GLOBE EATS INC,GLOBE RESTAURANT              ,290,PACIFIC AVE,290 PACIFIC AVE,,94107,1,1,8,5800,19970101,19970101,C/O MERCHANTS BOOKKEEPING,1880 PLEASANT VALLEY AVE,OAKLAND CA 946114211,"(37.7978323504125, -122.400633937038)"
956554,WENPAC INC,WENDYS OLD FASHIONED HAMBURGER,200,PINE ST,200 PINE ST,,941042704,1,2,8,5800,19960706,19990617,1533 SUNSET DR #150,,CORAL GABLES FL 331435700,"(37.7923667990737, -122.400148306322)"
956554,WENPAC INC,WENDYS OLD FASHIONED HAMBURGER,658,MARKET ST,658 MARKET ST,,941045001,1,1,8,5800,19960706,19960706,1533 SUNSET DR #150,,CORAL GABLES FL 331435700,"(37.7884789311249, -122.402971703887)"
956496,VAN TONY,LAN ANH CAFE                  ,710,POLK ST,710 POLK ST,,94109,1,1,8,3079,19960924,19960924,725 ELLIS ST #601,,SAN FRANCISCO CA 941097903,"(37.7833869242282, -122.419015569092)"
956432,XI LINDA L & ZHANG PETER,LUCKY COFFEE                  ,4150,CLEMENT ST,4150 CLEMENT ST,200,94121,1,1,8,3079,19960909,19960909,7509 GEARY BLVD,,SAN FRANCISCO CA 941211524,"(37.7825925864059, -122.5045749102)"
956402,HAN LAUREN,BOXERS BAR AND GRILL          ,2477,LOMBARD ST,2477 LOMBARD ST,,94123,1,1,8,3079,19960920,19960920,2477 LOMBARD ST,,SAN FRANCISCO CA 941232603,"(37.7988366982774, -122.442111443312)"
956194,LI XIANG QIN,GOLDEN BELL RESTAURANT        ,91,6TH ST,91 6TH ST,,941031610,1,1,8,3079,19960916,19960916,91 6TH ST,,SAN FRANCISCO CA 941031610,"(37.7812814354611, -122.408705050727)"
955794,SEQUOIA CONCESSIONS INC,SEQUOIA CONCESSIONS INC       ,3601,LYON ST,3601 LYON ST,,94123,1,1,8,5800,19960917,19960917,PO BOX 29376,,SAN FRANCISCO CA 941290376,"(37.8029022994885, -122.448345543092)"
955794,SEQUOIA CONCESSIONS INC,CAFE EXPLORATORIUM            ,3601,LYON ST,3601 LYON ST,,94123,2,1,8,5800,19960917,19980219,PO BOX 29376,,SAN FRANCISCO CA 941290376,"(37.8029022994885, -122.448345543092)"
955661,JAVA T LLC,JAVA TRADING CO               ,100,5TH ST,100 5TH ST,,941032901,1,1,8,5812,19960901,19960901,901 MISSION ST,,SAN FRANCISCO CA 941032905,"(37.7864834086189, -122.463422554247)"
955495,FANG RUN CHI/FANG WENDY,HONG KONG RESTAURANT          ,2728,SAN BRUNO AVE,2728 SAN BRUNO AVE,,941341509,2,1,8,3079,19940401,19971110,749A CLAY ST,,SAN FRANCISCO CA 941081859,"(37.7270850334373, -122.40371011701)"
955485,HO'S BAR & RESTAURANT INC,HO'S BAR & RESTAURANT INC     ,2360,VAN NESS AVE,2360 VAN NESS AVE,,941091872,1,1,8,5800,19960701,19960701,2360 VAN NESS AVE,,SAN FRANCISCO CA 941091872,"(37.7974890623601, -122.42339692218)"
