Station Nickname,Station Fullname,Address,Zip Code
RM,Richmond,1700 Nevin Avenue,94801
EN,El Cerrito Del Norte,6400 Cutting Blvd.,94530
EP,El Cerrito Plaza,6699 Fairmount Avenue,94530
NB,North Berkeley,1750 Sacramento Street,94702
BK,Berkeley,2160 Shattuck Avenue,94704
AS,Ashby,3100 Adeline Street,94703
MA,MacArthur,555 40th Street,94609
19,19th Street Oakland,1900 Broadway,94612
12,12th Street / Oakland City Center,1245 Broadway,94612
LM,Lake Merritt,800 Madison Street,94607
FV,Fruitvale,3401 East 12th Street,94601
CL,Coliseum / Oakland Airport,7200 San Leandro St.,94621
SL,San Leandro,1401 San Leandro Blvd.,94577
BF,Bayfair,15242 Hesperian Blvd.,94578
HY,Hayward,699 B Street,94541
SH,South Hayward,28601 Dixon Street,94544
UC,Union City,10 Union Square,94587
FM,Fremont,2000 BART Way,94536
CN,Concord,1451 Oakland Ave,94520
PH,Pleasant Hill PH Pleasant Hill,1365 Treat Blvd.,94597
WC,Walnut Creek,200 Ygnacio Valley Road,94596
LF,Lafayette,3601 Deer Hill Road,94549
OR,Orinda,11 Camino Pablo,94563
RR,Rockridge,5660 College Avenue,94618
OW,West Oakland,1451 7th Street,94607
EM,Embarcadero,298 Market Street,94111
MT,Montgomery Street,598 Market Street,94104
PL,Powell Street,899 Market Street,94102
CC,Civic Center,1150 Market Street,94102
16,16th Street Mission,2000 Mission Street,94110
24,24th Street Mission,2800 Mission Street,94110
GP,Glen Park,2901 Diamond Street,94131
BP,Balboa Park,401 Geneva Avenue,94112
DC,Daly City,500 John Daly Blvd.,94014
CM,Colma,365 D Street,94014
CV,Castro Valley,3301 Norbridge Dr.,94546
ED,Dublin / Pleasanton,5801 Owens Dr.,94588
NC,North Concord / Martinez,3700 Port Chicago Highway,94520
WP,Pittsburg / Baypoint,1700 West Leland Road,94565
SS,South San Francisco,1333 Mission Road,94080
SB,San Bruno,1151 Huntington Avenue,94066
MB,Millbrae,200 North Rollins Road,94030
SO,San Francisco International Airport,San Francisco Airport,94128
WD,West Dulin/Pleasanton,6501 Golden Gate Drive,94568
