Station lookup,Station Nickname,Station Fullname,Address,Zipcode,Latitude,Longitude,Weekday Ridership (entry)
RM Richmond,RM,Richmond,1700 Nevin Avenue,94801,37.936887,122.353165,3820.413925
EN El Cerrito Del Norte,EN,El Cerrito Del Norte,6400 Cutting Blvd.,94530,37.925655,122.317269,7694.708671
EP El Cerrito Plaza,EP,El Cerrito Plaza,6699 Fairmount Avenue,94530,37.9030588,122.2992715,4530.801728
NB North Berkeley,NB,North Berkeley,1750 Sacramento Street,94702,37.87404,122.283451,4176.484917
BK Berkeley,BK,Berkeley,2160 Shattuck Avenue,94704,37.869867,122.268045,12290.36972
AS Ashby,AS,Ashby,3100 Adeline Street,94703,37.853024,122.26978,5023.506312
MA MacArthur,MA,MacArthur,555 40th Street,94609,37.828415,122.267227,8767.675193
19 19th Street Oakland,19,19th Street Oakland,1900 Broadway,94612,37.80787,122.269029,11221.76814
12 12th Street / Oakland City Center,12,12th Street / Oakland City Center,1245 Broadway,94612,37.803664,122.271604,12863.08925
LM Lake Merritt,LM,Lake Merritt,800 Madison Street,94607,37.797484,122.265609,6094.887702
FV Fruitvale,FV,Fruitvale,3401 East 12th Street,94601,37.774963,122.224274,7785.579201
CL Coliseum / Oakland Airport,CL,Coliseum / Oakland Airport,7200 San Leandro St.,94621,37.754006,122.197273,7216.898681
SL San Leandro,SL,San Leandro,1401 San Leandro Blvd.,94577,37.72261921,122.1613112,5466.186852
BF Bayfair,BF,Bayfair,15242 Hesperian Blvd.,94578,37.697185,122.126871,5636.755091
HY Hayward,HY,Hayward,699 B Street,94541,37.670399,122.087967,5015.265117
SH South Hayward,SH,South Hayward,28601 Dixon Street,94544,37.63479954,122.0575506,3371.571143
UC Union City,UC,Union City,10 Union Square,94587,37.591208,122.017867,4268.893384
FM Fremont,FM,Fremont,2000 BART Way,94536,37.557355,121.9764,7916.838176
CN Concord,CN,Concord,1451 Oakland Ave,94520,37.973737,122.029095,5770.489716
PH Pleasant Hill PH Pleasant Hill,PH,Pleasant Hill PH Pleasant Hill,1365 Treat Blvd.,94597,37.928403,122.056013,6597.227699
WC Walnut Creek,WC,Walnut Creek,200 Ygnacio Valley Road,94596,37.905628,122.067423,6416.518984
LF Lafayette,LF,Lafayette,3601 Deer Hill Road,94549,37.893394,122.123801,3525.413003
OR Orinda,OR,Orinda,11 Camino Pablo,94563,37.87836087,122.1837911,2796.110657
RR Rockridge,RR,Rockridge,5660 College Avenue,94618,37.844601,122.251793,5302.328381
OW West Oakland,OW,West Oakland,1451 7th Street,94607,37.80467476,122.2945822,5875.489004
EM Embarcadero,EM,Embarcadero,298 Market Street,94111,37.792976,122.396742,35075.22009
MT Montgomery Street,MT,Montgomery Street,598 Market Street,94104,37.789256,122.401407,35563.18159
PL Powell Street,PL,Powell Street,899 Market Street,94102,37.784991,122.406857,31258.01027
CC Civic Center,CC,Civic Center,1150 Market Street,94102,37.779528,122.413756,21660.27301
16 16th Street Mission,16,16th Street Mission,2000 Mission Street,94110,37.765062,122.419694,11600.1994
24 24th Street Mission,24,24th Street Mission,2800 Mission Street,94110,37.752254,122.418466,13026.25548
GP Glen Park,GP,Glen Park,2901 Diamond Street,94131,37.732921,122.434092,7838.252333
BP Balboa Park,BP,Balboa Park,401 Geneva Avenue,94112,37.72198087,122.4474142,12933.02539
DC Daly City,DC,Daly City,500 John Daly Blvd.,94014,37.70612055,122.4690807,9031.059988
CM Colma,CM,Colma,365 D Street,94014,37.684638,122.466233,4398.610981
CV Castro Valley,CV,Castro Valley,3301 Norbridge Dr.,94546,37.690754,122.075567,2671.74197
ED Dublin / Pleasanton,ED,Dublin / Pleasanton,5801 Owens Dr.,94588,37.701695,121.900367,6987.975797
NC North Concord / Martinez,NC,North Concord / Martinez,3700 Port Chicago Highway,94520,38.003275,122.024597,2456.840291
WP Pittsburg / Baypoint,WP,Pittsburg / Baypoint,1700 West Leland Road,94565,38.018914,121.945154,5370.319891
SS South San Francisco,SS,South San Francisco,1333 Mission Road,94080,37.664174,122.444116,3123.454665
SB San Bruno,SB,San Bruno,1151 Huntington Avenue,94066,37.637753,122.416038,3387.974508
MB Millbrae,MB,Millbrae,200 North Rollins Road,94030,37.599787,122.38666,6044.413084
SO San Francisco International Airport,SO,San Francisco International Airport,San Francisco Airport,94128,37.616035,122.392612,6314.103561
WD West Dulin/Pleasanton,WD,West Dulin/Pleasanton,6501 Golden Gate Drive,94568,37.699759,121.928099,2690.384933
